"355","Coffee & Tea"
"355","Sandwiches"
"356","Fast Food"
"357","Pizza"
"358","Japanese"
"358","Seafood"
"358","Steakhouses"
"359","Fish & Chips"
"359","Seafood"
"360","Restaurants"
"361","Chinese"
"362","Burgers"
"362","Desserts"
"362","Pubs"
"363","Japanese"
"363","Sushi Bars"
"364","Bars"
"364","Canadian (New)"
"365","Convenience Stores"
"365","Filipino"
"366","Delis"
"366","Sandwiches"
"367","Chinese"
"367","Fish & Chips"
"368","Burgers"
"368","Canadian (New)"
"369","Pizza"
"370","Caterers"
"370","Delis"
"370","Personal Chefs"
"371","Pizza"
"372","Food Trucks"
"372","Mexican"
"372","Vegetarian"
"373","Asian Fusion"
"373","Japanese"
"373","Sushi Bars"
"374","Gluten-Free"
"375","Cafes"
"375","Coffee & Tea"
"376","Cafes"
"376","Coffee & Tea"
"376","Gluten-Free"
"377","Breakfast & Brunch"
"377","Burgers"
"377","Sandwiches"
"378","Vietnamese"
"379","Burgers"
"379","Fast Food"
"380","Chinese"
"381","Hot Dogs"
"382","Japanese"
"382","Sushi Bars"
"383","Sandwiches"
"384","Japanese"
"385","Chinese"
"386","Vietnamese"
"387","Bakeries"
"387","Salad"
"387","Sandwiches"
"388","Canadian (New)"
"389","Vietnamese"
"390","Japanese"
"391","American (Traditional)"
"391","Comfort Food"
"392","Mexican"
"393","Ice Cream & Frozen Yogurt"
"393","Juice Bars & Smoothies"
"393","Salad"
"394","Coffee & Tea"
"394","Greek"
"394","Mediterranean"
"395","Breakfast & Brunch"
"395","British"
"395","Tea Rooms"
"396","Burgers"
"396","Seafood"
"397","Mexican"
"398","American (Traditional)"
"398","Cafes"
"398","Canadian (New)"
"399","Burgers"
"399","Fast Food"
"400","Burgers"
"400","Fast Food"
"401","American (Traditional)"
"402","Chinese"
"403","Italian"
"403","Pizza"
"404","Canadian (New)"
"404","Gastropubs"
"405","Chinese"
"405","Thai"
"406","Fast Food"
"406","Greek"
"407","Breakfast & Brunch"
"407","Cafes"
"408","Bars"
"408","Diners"
"409","Canadian (New)"
"410","Vietnamese"
"411","Fast Food"
"411","Greek"
"412","Korean"
"413","Fish & Chips"
"413","Food Stands"
"414","Japanese"
"414","Sushi Bars"
"415","Butcher"
"415","Halal"
"416","Asian Fusion"
"417","Sandwiches"
"418","Indian"
"419","Canadian (New)"
"420","Chicken Wings"
"420","Italian"
"420","Pizza"
"421","Chinese"
"422","Fast Food"
"422","Sushi Bars"
"423","Breakfast & Brunch"
"423","Burgers"
"423","Cafes"
"424","Korean"
"424","Vietnamese"
"425","Cafes"
"426","Burgers"
"426","Fast Food"
"427","Japanese"
"427","Sushi Bars"
"428","Restaurants"
"429","Canadian (New)"
"430","Bars"
"430","Burgers"
"431","Mexican"
"432","American (Traditional)"
"433","Chicken Wings"
"433","Pizza"
"433","Salad"
"434","Korean"
"435","Indian"
"436","Cafes"
"437","Chinese"
"438","Japanese"
"438","Sushi Bars"
"439","Pizza"
"439","Salad"
"440","Buffets"
"441","Cafes"
"441","Coffee & Tea"
"441","Gluten-Free"
"442","Burgers"
"443","Cafes"
"443","Coffee & Tea"
"443","Gluten-Free"
"444","Grocery"
"444","Persian/Iranian"
"445","Burgers"
"445","Fast Food"
"446","Delis"
"446","Sandwiches"
"447","Fast Food"
"447","Ice Cream & Frozen Yogurt"
"448","American (Traditional)"
"448","Bars"
"449","Canadian (New)"
"450","Juice Bars & Smoothies"
"450","Vegan"
"450","Vegetarian"
"451","Pizza"
"452","Breakfast & Brunch"
"452","Cafes"
"452","Sandwiches"
"453","Buffets"
"453","Chinese"
"454","Breakfast & Brunch"
"454","Coffee & Tea"
"454","Sandwiches"
"455","Pizza"
"456","Donairs"
"456","Pizza"
"457","Cafes"
"458","Coffee & Tea"
"458","Gluten-Free"
"459","Burgers"
"459","Fast Food"
"460","Pizza"
"460","Sports Bars"
"461","Canadian (New)"
"461","Chinese"
"462","American (Traditional)"
"462","Mexican"
"462","Tex-Mex"
"463","Canadian (New)"
"464","Fast Food"
"464","Ice Cream & Frozen Yogurt"
"465","Irish"
"466","Mexican"
"467","Food Stands"
"467","Seafood"
"468","Cafes"
"469","Fast Food"
"469","Sandwiches"
"470","Breakfast & Brunch"
"470","Coffee & Tea"
"470","Doughnuts"
"471","Chinese"
"471","Seafood"
"472","Pizza"
"473","Food Trucks"
"473","Mexican"
"474","Breakfast & Brunch"
"475","Coffee & Tea"
"475","Sandwiches"
"475","Soup"
"476","Delis"
"476","Grocery"
"477","Chinese"
"478","Delis"
"479","Fast Food"
"479","Sandwiches"
"480","Asian Fusion"
"480","Breakfast & Brunch"
"480","Italian"
"481","Chinese"
"481","Korean"
"482","Mediterranean"
"482","Sandwiches"
"483","Sushi Bars"
"484","Delis"
"484","Sandwiches"
"485","Cafes"
"486","Indian"
"487","Pizza"
"488","Diners"
"489","Fish & Chips"
"490","American (Traditional)"
"490","Beer, Wine & Spirits"
"490","Breakfast & Brunch"
"490","Caribbean"
"490","Cocktail Bars"
"490","Pizza"
"491","Cafes"
"492","Chicken Wings"
"492","Chinese"
"493","Caribbean"
"494","Cafes"
"495","Breakfast & Brunch"
"495","Burgers"
"495","Sandwiches"
"496","Cafes"
"496","Delis"
"497","Fast Food"
"497","Sandwiches"
"498","Delis"
"498","Sandwiches"
"499","Breakfast & Brunch"
"500","Fast Food"
"500","Ice Cream & Frozen Yogurt"
"501","Cafes"
"501","Taiwanese"
"502","Mexican"
"503","Cafes"
"503","Lounges"
"504","Sandwiches"
"505","Sandwiches"
"506","Japanese"
"506","Seafood"
"506","Sushi Bars"
"507","Bubble Tea"
"507","Taiwanese"
"508","Seafood"
"509","Breakfast & Brunch"
"509","Burgers"
"509","Fast Food"
"510","Cafes"
"511","Caterers"
"512","Sushi Bars"
"513","Korean"
"514","Fast Food"
"514","Salad"
"514","Sandwiches"
"515","Fast Food"
"515","Sandwiches"
"516","Burgers"
"516","Fast Food"
"517","Chicken Wings"
"517","Italian"
"517","Pizza"
"518","Middle Eastern"
"519","Indian"
"519","Pakistani"
"520","Steakhouses"
"521","Pizza"
"522","Japanese"
"523","Fast Food"
"523","Food Trucks"
"523","Polish"
"524","Delis"
"524","Sandwiches"
"525","Italian"
"526","Cafes"
"526","Coffee & Tea"
"527","Burgers"
"527","Fast Food"
"528","Sandwiches"
"529","Pizza"
"530","Fast Food"
"531","Cafes"
"532","Food Delivery Services"
"532","Pizza"
"533","Pizza"
"534","Gluten-Free"
"534","Indian"
"534","Vegan"
"535","Cafes"
"536","Pizza"
"537","Burgers"
"537","Fast Food"
"538","Pizza"
"539","Fast Food"
"540","Canadian (New)"
"541","Pizza"
"542","Italian"
"543","Cafes"
"543","Coffee & Tea"
"544","Burgers"
"544","Fast Food"
"545","Pizza"
"546","Canadian (New)"
"547","Coffee & Tea"
"547","Salad"
"547","Sandwiches"
"548","Fast Food"
"548","Specialty Food"
"549","Japanese"
"550","Buffets"
"551","Pizza"
"552","Delis"
"552","Sandwiches"
"552","Soup"
"553","Japanese"
"554","Chinese"
"555","Pizza"
"556","Moroccan"
"557","Indian"
"558","Cafes"
"559","Sandwiches"
"560","Fast Food"
"561","Pizza"
"562","Asian Fusion"
"563","Fish & Chips"
"564","Pizza"
"565","Pizza"
"566","Seafood"
"566","Steakhouses"
"567","Japanese"
"568","Travel Services"
"569","Gluten-Free"
"569","Indian"
"570","Delis"
"570","Sandwiches"
"571","Italian"
"572","Pizza"
"573","Sandwiches"
"574","Bars"
"574","Restaurants"
"575","Fast Food"
"576","Burgers"
"576","Fast Food"
"577","Canadian (New)"
"577","Pubs"
"578","Cafes"
"579","Cafes"
"580","Restaurants"
"581","Restaurants"
"582","Cafes"
"583","Fast Food"
"583","Indian"
"584","Japanese"
"585","Bakeries"
"585","Restaurants"
"586","Sushi Bars"
"587","Restaurants"
"588","Fast Food"
"588","Sandwiches"
"589","Coffee & Tea"
"589","Salad"
"589","Sandwiches"
"590","Japanese"
"591","Restaurants"
"592","American (Traditional)"
"593","Computers"
"594","Lawyers"
"595","Restaurants"
"596","Mobile Phones"
"597","Pest Control"
"598","Shopping"
"599","Imported Food"
"599","Thai"
"600","Cafes"
"600","Delicatessen"
"601","Restaurants"
"602","Restaurants"
"603","Gas Stations"
"604","Restaurants"
"605","Restaurants"
